"job_id","date_found","company","job_title","role_family","level","convert_track","location","remote_policy","source","job_url","posted_date","priority","status","resume_variant","skip_reason","blocker","next_action","notes","cohort_match_status","current_stage","验证置信度","submission_tier","company_tier","job_type","deadline","match_score","hard_gate","verification_status","applied_date"
"jh-5c4cf9a9af40","2026-09-01","Acme AI","AI Product Manager Intern","AI内容/创作者工具","日常实习","可转正","上海","现场","DEMO","https://example.com/acmeai/jobs/1000","2026-09-01","High","Pending","demo-variant","","","待投递(DEMO·S梯队)","Demo: multimodal creation tooling.","DEMO","","DEMO","S","大厂","日常实习","","90","None (demo)","DEMO",""
"jh-f60bce4ba973","2026-09-01","Acme AI","Creator Tools Product Manager","AI内容/创作者工具","日常实习","可转正","北京","现场","DEMO","https://example.com/acmeai/jobs/1001","2026-09-01","Medium","Pending","demo-variant","","","待投递(DEMO·A梯队)","Demo: creator workflow + monetisation.","DEMO","","DEMO","A","中厂","日常实习","","89","None (demo)","DEMO",""
"jh-af1c17e6cbef","2026-09-01","Northstar Labs","AI Agent Product Manager","效率工具/SaaS","转正岗位","正式","北京","混合","DEMO","https://example.com/northstarlabs/jobs/1002","2026-09-01","High","Submitted","demo-variant","","","待投递(DEMO·S梯队)","Demo: agent platform, eval harness.","DEMO","一面","DEMO","S","大厂","转正岗位","","88","None (demo)","DEMO","2026-09-05"
"jh-66baeeaa84e0","2026-09-01","Northstar Labs","Platform Product Manager Intern","效率工具/SaaS","日常实习","可转正","北京","现场","DEMO","https://example.com/northstarlabs/jobs/1003","2026-09-01","Medium","Pending","demo-variant","","","待投递(DEMO·A梯队)","Demo: internal platform + SDK.","DEMO","","DEMO","A","中厂","日常实习","","87","None (demo)","DEMO",""
"jh-27c83745184c","2026-09-01","NovaTech","Growth Product Intern","通用产品","日常实习","可转正","深圳","现场","DEMO","https://example.com/novatech/jobs/1004","2026-09-01","Medium","Pending","demo-variant","","","待投递(DEMO·A梯队)","Demo: activation and retention loops.","DEMO","","DEMO","A","中厂","日常实习","","86","None (demo)","DEMO",""
"jh-3dd344ce9c60","2026-09-01","NovaTech","AI Commerce Product Manager","AI电商/跨境Agent","转正岗位","正式","杭州","现场","DEMO","https://example.com/novatech/jobs/1005","2026-09-01","Low","Submitted","demo-variant","","","待投递(DEMO·B梯队)","Demo: cross-border listing automation.","DEMO","测评","DEMO","B","中厂","转正岗位","","85","None (demo)","DEMO","2026-09-05"
"jh-a5bbbdef840b","2026-09-01","Orbit","AI Agent PM — Cross-border","AI电商/跨境Agent","日常实习","可转正","上海","现场","DEMO","https://example.com/orbit/jobs/1006","2026-09-01","Low","Pending","demo-variant","","待登录核验","待处理(待登录核验)","Demo: needs login to read full JD.","DEMO","","DEMO","B","中厂","日常实习","","84","None (demo)","DEMO",""
"jh-68f67b88a1ca","2026-09-01","Orbit","Data Product Intern","通用产品","日常实习","可转正","广州","现场","DEMO","https://example.com/orbit/jobs/1007","2026-09-01","Low","Pending","demo-variant","","待复核","待处理(待复核)","Demo: mirror page needs re-check.","DEMO","","DEMO","B","中厂","日常实习","","83","None (demo)","DEMO",""
"jh-93f519b49a34","2026-09-01","Pioneer","Conversational AI Product Manager","AI内容/创作者工具","转正岗位","正式","北京","现场","DEMO","https://example.com/pioneer/jobs/1008","2026-09-01","High","Submitted","demo-variant","","","待投递(DEMO·S梯队)","Demo: chat assistant quality.","DEMO","二面","DEMO","S","大厂","转正岗位","","82","None (demo)","DEMO","2026-09-05"
"jh-99ca637a397c","2026-09-01","Pioneer","Trust & Safety Product Manager","通用产品","日常实习","可转正","北京","混合","DEMO","https://example.com/pioneer/jobs/1009","2026-09-01","Medium","Pending","demo-variant","","","待投递(DEMO·A梯队)","Demo: policy + moderation tooling.","DEMO","","DEMO","A","中厂","日常实习","","81","None (demo)","DEMO",""
"jh-7e841d54fdd7","2026-09-01","Lumen Works","AI Video Product Intern","AI内容/创作者工具","日常实习","可转正","杭州","现场","DEMO","https://example.com/lumenworks/jobs/1010","2026-09-01","Medium","Pending","demo-variant","","","待投递(DEMO·A梯队)","Demo: video generation pipeline.","DEMO","","DEMO","A","中厂","日常实习","","80","None (demo)","DEMO",""
"jh-6c66817a3328","2026-09-01","Lumen Works","Evaluation Product Manager","效率工具/SaaS","日常实习","可转正","上海","现场","DEMO","https://example.com/lumenworks/jobs/1011","2026-09-01","Medium","Pending","demo-variant","","缺直链","待处理(缺直链)","Demo: no direct posting link yet.","DEMO","","DEMO","A","中厂","日常实习","","79","None (demo)","DEMO",""
